# NEFT 仿真实验日志
实验名 (experiment.name): default
启动时间:                 2026-05-28 18:35:45
日志目录:                 F:\Data Structure\NEFT-System-main\NEFT-System\log\default
配置文件:                 F:\Data Structure\NEFT-System-main\NEFT-System\configs\dynamic\samll.yaml

---- 事件日志 ----
[2026-05-28 18:35:45] [START] Experiment 'default' started.
[2026-05-28 18:35:45] [INFO] [HEADLESS] mode=dynamic, strategy=nearest_task, fleet_size=6, stations=2, initial_tasks=5, task_budget=None, max_sim_seconds=None, task_seed=record(base_seed=1536654483), seed_file=F:\Data Structure\NEFT-System-main\NEFT-System\log\default\task_generation_seed.yaml
[2026-05-28 18:35:49] [PROGRESS] sim_elapsed=360s strategy=nearest_task tasks total=5 completed=0 pending=0 in_progress=5 timeout=0 vehicles idle=3 moving=3 charging=0
[2026-05-28 18:35:52] [PROGRESS] sim_elapsed=720s strategy=nearest_task tasks total=5 completed=1 pending=0 in_progress=4 timeout=0 vehicles idle=3 moving=3 charging=0
[2026-05-28 18:35:55] [PROGRESS] sim_elapsed=1080s strategy=nearest_task tasks total=5 completed=1 pending=0 in_progress=4 timeout=0 vehicles idle=3 moving=3 charging=0
[2026-05-28 18:35:58] [PROGRESS] sim_elapsed=1440s strategy=nearest_task tasks total=5 completed=2 pending=0 in_progress=3 timeout=0 vehicles idle=3 moving=3 charging=0
[2026-05-28 18:36:02] [PROGRESS] sim_elapsed=1800s strategy=nearest_task tasks total=7 completed=4 pending=0 in_progress=3 timeout=0 vehicles idle=2 moving=4 charging=0
[2026-05-28 18:36:05] [PROGRESS] sim_elapsed=2160s strategy=nearest_task tasks total=7 completed=4 pending=0 in_progress=3 timeout=0 vehicles idle=1 moving=5 charging=0
[2026-05-28 18:36:08] [PROGRESS] sim_elapsed=2520s strategy=nearest_task tasks total=7 completed=4 pending=0 in_progress=3 timeout=0 vehicles idle=2 moving=4 charging=0
[2026-05-28 18:36:11] [PROGRESS] sim_elapsed=2880s strategy=nearest_task tasks total=7 completed=5 pending=0 in_progress=2 timeout=0 vehicles idle=3 moving=3 charging=0
[2026-05-28 18:36:14] [PROGRESS] sim_elapsed=3240s strategy=nearest_task tasks total=7 completed=6 pending=0 in_progress=1 timeout=0 vehicles idle=2 moving=4 charging=0
[2026-05-28 18:36:17] [PROGRESS] sim_elapsed=3600s strategy=nearest_task tasks total=7 completed=7 pending=0 in_progress=0 timeout=0 vehicles idle=4 moving=2 charging=0
[2026-05-28 18:36:20] [PROGRESS] sim_elapsed=3960s strategy=nearest_task tasks total=10 completed=7 pending=0 in_progress=3 timeout=0 vehicles idle=0 moving=6 charging=0
[2026-05-28 18:36:23] [PROGRESS] sim_elapsed=4320s strategy=nearest_task tasks total=10 completed=7 pending=0 in_progress=3 timeout=0 vehicles idle=1 moving=5 charging=0
[2026-05-28 18:36:26] [PROGRESS] sim_elapsed=4680s strategy=nearest_task tasks total=10 completed=7 pending=0 in_progress=3 timeout=0 vehicles idle=2 moving=4 charging=0
[2026-05-28 18:36:29] [PROGRESS] sim_elapsed=5040s strategy=nearest_task tasks total=10 completed=8 pending=0 in_progress=2 timeout=0 vehicles idle=3 moving=2 charging=1
[2026-05-28 18:36:33] [PROGRESS] sim_elapsed=5400s strategy=nearest_task tasks total=13 completed=9 pending=2 in_progress=2 timeout=0 vehicles idle=4 moving=2 charging=0
[2026-05-28 18:36:36] [PROGRESS] sim_elapsed=5760s strategy=nearest_task tasks total=13 completed=9 pending=2 in_progress=2 timeout=0 vehicles idle=2 moving=4 charging=0
[2026-05-28 18:36:39] [PROGRESS] sim_elapsed=6120s strategy=nearest_task tasks total=13 completed=10 pending=2 in_progress=1 timeout=0 vehicles idle=3 moving=3 charging=0
[2026-05-28 18:36:42] [PROGRESS] sim_elapsed=6480s strategy=nearest_task tasks total=13 completed=10 pending=2 in_progress=1 timeout=0 vehicles idle=2 moving=4 charging=0
[2026-05-28 18:36:45] [PROGRESS] sim_elapsed=6840s strategy=nearest_task tasks total=13 completed=10 pending=1 in_progress=2 timeout=0 vehicles idle=2 moving=4 charging=0
[2026-05-28 18:36:48] [PROGRESS] sim_elapsed=7200s strategy=nearest_task tasks total=15 completed=10 pending=3 in_progress=2 timeout=0 vehicles idle=3 moving=3 charging=0
[2026-05-28 18:36:52] [PROGRESS] sim_elapsed=7560s strategy=nearest_task tasks total=15 completed=11 pending=0 in_progress=4 timeout=0 vehicles idle=2 moving=4 charging=0
[2026-05-28 18:36:55] [PROGRESS] sim_elapsed=7920s strategy=nearest_task tasks total=15 completed=12 pending=0 in_progress=3 timeout=0 vehicles idle=3 moving=2 charging=1
[2026-05-28 18:36:58] [PROGRESS] sim_elapsed=8280s strategy=nearest_task tasks total=15 completed=12 pending=0 in_progress=3 timeout=0 vehicles idle=2 moving=2 charging=2
[2026-05-28 18:37:01] [PROGRESS] sim_elapsed=8640s strategy=nearest_task tasks total=15 completed=13 pending=0 in_progress=2 timeout=0 vehicles idle=4 moving=1 charging=1
[2026-05-28 18:37:04] [PROGRESS] sim_elapsed=9000s strategy=nearest_task tasks total=15 completed=13 pending=0 in_progress=2 timeout=0 vehicles idle=2 moving=4 charging=0
[2026-05-28 18:37:07] [PROGRESS] sim_elapsed=9360s strategy=nearest_task tasks total=15 completed=13 pending=0 in_progress=2 timeout=0 vehicles idle=2 moving=4 charging=0
[2026-05-28 18:37:10] [PROGRESS] sim_elapsed=9720s strategy=nearest_task tasks total=15 completed=13 pending=0 in_progress=2 timeout=0 vehicles idle=3 moving=2 charging=1
[2026-05-28 18:37:13] [PROGRESS] sim_elapsed=10080s strategy=nearest_task tasks total=15 completed=13 pending=0 in_progress=2 timeout=0 vehicles idle=6 moving=0 charging=0
[2026-05-28 18:37:17] [PROGRESS] sim_elapsed=10440s strategy=nearest_task tasks total=18 completed=13 pending=0 in_progress=5 timeout=0 vehicles idle=2 moving=4 charging=0
[2026-05-28 18:37:20] [PROGRESS] sim_elapsed=10800s strategy=nearest_task tasks total=18 completed=14 pending=0 in_progress=4 timeout=0 vehicles idle=2 moving=4 charging=0
[2026-05-28 18:37:23] [PROGRESS] sim_elapsed=11160s strategy=nearest_task tasks total=18 completed=15 pending=0 in_progress=3 timeout=0 vehicles idle=4 moving=2 charging=0
[2026-05-28 18:37:26] [PROGRESS] sim_elapsed=11520s strategy=nearest_task tasks total=18 completed=16 pending=0 in_progress=2 timeout=0 vehicles idle=3 moving=3 charging=0
