# NEFT 仿真实验日志
实验名 (experiment.name): medium-scale-regional_planning
启动时间:                 2026-05-28 16:20:09
日志目录:                 F:\Data Structure\NEFT-System-main\NEFT-System\log\medium-scale-regional_planning
配置文件:                 F:\Data Structure\NEFT-System-main\NEFT-System\configs\dynamic\medium.yaml

---- 事件日志 ----
[2026-05-28 16:20:09] [START] Experiment 'medium-scale-regional_planning' started.
[2026-05-28 16:20:09] [INFO] [HEADLESS] mode=dynamic, strategy=regional_planning, fleet_size=6, stations=2, initial_tasks=5, task_budget=80, max_sim_seconds=7200, task_seed=replay=F:/Data Structure/NEFT-System-main/NEFT-System/log/medium-scale-regional_planning/task_generation_seed.yaml, seed_file=F:\Data Structure\NEFT-System-main\NEFT-System\log\medium-scale-regional_planning\task_generation_seed.yaml
[2026-05-28 16:20:13] [PROGRESS] sim_elapsed=360s strategy=regional_planning tasks total=5 completed=0 pending=0 in_progress=5 timeout=0 vehicles idle=1 moving=5 charging=0
[2026-05-28 16:20:16] [PROGRESS] sim_elapsed=720s strategy=regional_planning tasks total=5 completed=0 pending=0 in_progress=5 timeout=0 vehicles idle=1 moving=5 charging=0
[2026-05-28 16:20:19] [PROGRESS] sim_elapsed=1080s strategy=regional_planning tasks total=13 completed=3 pending=6 in_progress=4 timeout=0 vehicles idle=0 moving=6 charging=0
[2026-05-28 16:20:22] [PROGRESS] sim_elapsed=1440s strategy=regional_planning tasks total=13 completed=6 pending=6 in_progress=1 timeout=0 vehicles idle=2 moving=4 charging=0
[2026-05-28 16:20:27] [PROGRESS] sim_elapsed=1800s strategy=regional_planning tasks total=19 completed=6 pending=12 in_progress=1 timeout=0 vehicles idle=2 moving=4 charging=0
[2026-05-28 16:20:31] [PROGRESS] sim_elapsed=2160s strategy=regional_planning tasks total=28 completed=7 pending=20 in_progress=1 timeout=0 vehicles idle=0 moving=6 charging=0
[2026-05-28 16:20:37] [PROGRESS] sim_elapsed=2520s strategy=regional_planning tasks total=31 completed=8 pending=20 in_progress=3 timeout=0 vehicles idle=1 moving=5 charging=0
[2026-05-28 16:20:41] [PROGRESS] sim_elapsed=2880s strategy=regional_planning tasks total=31 completed=9 pending=13 in_progress=9 timeout=0 vehicles idle=1 moving=4 charging=1
[2026-05-28 16:20:44] [PROGRESS] sim_elapsed=3240s strategy=regional_planning tasks total=31 completed=11 pending=13 in_progress=7 timeout=0 vehicles idle=1 moving=4 charging=1
[2026-05-28 16:20:48] [PROGRESS] sim_elapsed=3600s strategy=regional_planning tasks total=36 completed=12 pending=18 in_progress=6 timeout=0 vehicles idle=1 moving=5 charging=0
