# NEFT 仿真实验日志
实验名 (experiment.name): medium-scale-relay_handoff
启动时间:                 2026-05-27 13:28:03
日志目录:                 F:\Data Structure\NEFT-System-main\NEFT-System\log\medium-scale-relay_handoff
配置文件:                 F:\Data Structure\NEFT-System-main\NEFT-System\configs\dynamic\medium.yaml

---- 事件日志 ----
[2026-05-27 13:28:03] [START] Experiment 'medium-scale-relay_handoff' started.
[2026-05-27 13:28:03] [INFO] [HEADLESS] mode=dynamic, strategy=relay_handoff, fleet_size=6, stations=2, initial_tasks=5, task_budget=80, max_sim_seconds=7200, task_seed=replay=F:/Data Structure/NEFT-System-main/NEFT-System/log/benchmarks/dynamic/medium/seed_1/composite_score/task_generation_seed.yaml, seed_file=F:\Data Structure\NEFT-System-main\NEFT-System\log\medium-scale-relay_handoff\task_generation_seed.yaml
[2026-05-27 13:28:03] [PROGRESS] sim_elapsed=360s strategy=relay_handoff tasks total=5 completed=0 pending=0 in_progress=5 timeout=0 vehicles idle=0 moving=6 charging=0
[2026-05-27 13:28:04] [PROGRESS] sim_elapsed=720s strategy=relay_handoff tasks total=5 completed=1 pending=0 in_progress=4 timeout=0 vehicles idle=0 moving=6 charging=0
[2026-05-27 13:28:04] [PROGRESS] sim_elapsed=1080s strategy=relay_handoff tasks total=5 completed=1 pending=0 in_progress=4 timeout=0 vehicles idle=0 moving=6 charging=0
[2026-05-27 13:28:04] [PROGRESS] sim_elapsed=1440s strategy=relay_handoff tasks total=5 completed=2 pending=0 in_progress=3 timeout=0 vehicles idle=0 moving=3 charging=3
[2026-05-27 13:28:04] [PROGRESS] sim_elapsed=1800s strategy=relay_handoff tasks total=8 completed=3 pending=3 in_progress=2 timeout=0 vehicles idle=2 moving=4 charging=0
[2026-05-27 13:28:04] [PROGRESS] sim_elapsed=2160s strategy=relay_handoff tasks total=8 completed=3 pending=3 in_progress=2 timeout=0 vehicles idle=1 moving=5 charging=0
[2026-05-27 13:28:04] [PROGRESS] sim_elapsed=2520s strategy=relay_handoff tasks total=8 completed=3 pending=3 in_progress=2 timeout=0 vehicles idle=2 moving=4 charging=0
[2026-05-27 13:28:04] [PROGRESS] sim_elapsed=2880s strategy=relay_handoff tasks total=8 completed=3 pending=1 in_progress=4 timeout=0 vehicles idle=3 moving=3 charging=0
[2026-05-27 13:28:05] [PROGRESS] sim_elapsed=3240s strategy=relay_handoff tasks total=10 completed=4 pending=0 in_progress=6 timeout=0 vehicles idle=2 moving=4 charging=0
[2026-05-27 13:28:05] [PROGRESS] sim_elapsed=3600s strategy=relay_handoff tasks total=10 completed=5 pending=0 in_progress=5 timeout=0 vehicles idle=2 moving=4 charging=0
[2026-05-27 13:28:05] [PROGRESS] sim_elapsed=3960s strategy=relay_handoff tasks total=10 completed=5 pending=0 in_progress=5 timeout=0 vehicles idle=2 moving=4 charging=0
[2026-05-27 13:28:05] [PROGRESS] sim_elapsed=4320s strategy=relay_handoff tasks total=13 completed=5 pending=3 in_progress=5 timeout=0 vehicles idle=2 moving=3 charging=1
[2026-05-27 13:28:05] [PROGRESS] sim_elapsed=4680s strategy=relay_handoff tasks total=13 completed=7 pending=3 in_progress=3 timeout=0 vehicles idle=0 moving=5 charging=1
[2026-05-27 13:28:06] [PROGRESS] sim_elapsed=5040s strategy=relay_handoff tasks total=16 completed=8 pending=1 in_progress=7 timeout=0 vehicles idle=1 moving=4 charging=1
[2026-05-27 13:28:06] [PROGRESS] sim_elapsed=5400s strategy=relay_handoff tasks total=16 completed=8 pending=1 in_progress=7 timeout=0 vehicles idle=0 moving=5 charging=1
[2026-05-27 13:28:07] [PROGRESS] sim_elapsed=5760s strategy=relay_handoff tasks total=16 completed=8 pending=1 in_progress=7 timeout=0 vehicles idle=0 moving=5 charging=1
[2026-05-27 13:28:07] [PROGRESS] sim_elapsed=6120s strategy=relay_handoff tasks total=16 completed=10 pending=0 in_progress=6 timeout=0 vehicles idle=1 moving=4 charging=1
[2026-05-27 13:28:07] [PROGRESS] sim_elapsed=6480s strategy=relay_handoff tasks total=19 completed=11 pending=3 in_progress=5 timeout=0 vehicles idle=1 moving=4 charging=1
[2026-05-27 13:28:07] [PROGRESS] sim_elapsed=6840s strategy=relay_handoff tasks total=19 completed=12 pending=3 in_progress=4 timeout=0 vehicles idle=1 moving=4 charging=1
[2026-05-27 13:28:08] [PROGRESS] sim_elapsed=7200s strategy=relay_handoff tasks total=23 completed=12 pending=3 in_progress=8 timeout=0 vehicles idle=0 moving=3 charging=3
[2026-05-27 13:28:08] [PROGRESS] sim_elapsed=7560s strategy=relay_handoff tasks total=23 completed=12 pending=3 in_progress=8 timeout=0 vehicles idle=0 moving=3 charging=3
[2026-05-27 13:28:08] [PROGRESS] sim_elapsed=7920s strategy=relay_handoff tasks total=23 completed=15 pending=3 in_progress=5 timeout=0 vehicles idle=1 moving=2 charging=3
[2026-05-27 13:28:08] [PROGRESS] sim_elapsed=8280s strategy=relay_handoff tasks total=23 completed=15 pending=3 in_progress=5 timeout=0 vehicles idle=0 moving=3 charging=3
[2026-05-27 13:28:08] [PROGRESS] sim_elapsed=8640s strategy=relay_handoff tasks total=23 completed=15 pending=3 in_progress=5 timeout=0 vehicles idle=1 moving=1 charging=4
[2026-05-27 13:28:08] [PROGRESS] sim_elapsed=9000s strategy=relay_handoff tasks total=23 completed=15 pending=3 in_progress=5 timeout=0 vehicles idle=0 moving=2 charging=4
[2026-05-27 13:28:08] [PROGRESS] sim_elapsed=9360s strategy=relay_handoff tasks total=23 completed=15 pending=3 in_progress=5 timeout=0 vehicles idle=0 moving=2 charging=4
[2026-05-27 13:28:08] [PROGRESS] sim_elapsed=9720s strategy=relay_handoff tasks total=23 completed=16 pending=3 in_progress=4 timeout=0 vehicles idle=1 moving=2 charging=3
[2026-05-27 13:28:08] [PROGRESS] sim_elapsed=10080s strategy=relay_handoff tasks total=23 completed=16 pending=1 in_progress=6 timeout=0 vehicles idle=0 moving=3 charging=3
[2026-05-27 13:28:08] [PROGRESS] sim_elapsed=10440s strategy=relay_handoff tasks total=23 completed=17 pending=1 in_progress=5 timeout=0 vehicles idle=1 moving=2 charging=3
[2026-05-27 13:28:09] [PROGRESS] sim_elapsed=10800s strategy=relay_handoff tasks total=23 completed=18 pending=1 in_progress=4 timeout=0 vehicles idle=0 moving=3 charging=3
[2026-05-27 13:28:09] [PROGRESS] sim_elapsed=11160s strategy=relay_handoff tasks total=23 completed=18 pending=1 in_progress=4 timeout=0 vehicles idle=0 moving=3 charging=3
[2026-05-27 13:28:09] [PROGRESS] sim_elapsed=11520s strategy=relay_handoff tasks total=23 completed=19 pending=1 in_progress=3 timeout=0 vehicles idle=0 moving=3 charging=3
[2026-05-27 13:28:09] [PROGRESS] sim_elapsed=11880s strategy=relay_handoff tasks total=23 completed=20 pending=0 in_progress=3 timeout=0 vehicles idle=0 moving=5 charging=1
[2026-05-27 13:28:09] [PROGRESS] sim_elapsed=12240s strategy=relay_handoff tasks total=23 completed=21 pending=0 in_progress=2 timeout=0 vehicles idle=1 moving=4 charging=1
[2026-05-27 13:28:09] [PROGRESS] sim_elapsed=12600s strategy=relay_handoff tasks total=23 completed=21 pending=0 in_progress=2 timeout=0 vehicles idle=1 moving=4 charging=1
[2026-05-27 13:28:09] [PROGRESS] sim_elapsed=12960s strategy=relay_handoff tasks total=23 completed=21 pending=0 in_progress=2 timeout=0 vehicles idle=1 moving=4 charging=1
[2026-05-27 13:28:09] [PROGRESS] sim_elapsed=13320s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=3 moving=2 charging=1
[2026-05-27 13:28:09] [PROGRESS] sim_elapsed=13680s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=3 moving=2 charging=1
[2026-05-27 13:28:09] [PROGRESS] sim_elapsed=14040s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=3 moving=2 charging=1
[2026-05-27 13:28:09] [PROGRESS] sim_elapsed=14400s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=4 moving=1 charging=1
[2026-05-27 13:28:09] [PROGRESS] sim_elapsed=14760s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=4 moving=1 charging=1
[2026-05-27 13:28:09] [PROGRESS] sim_elapsed=15120s strategy=relay_handoff tasks total=23 completed=22 pending=0 in_progress=1 timeout=0 vehicles idle=5 moving=0 charging=1
